C1	C2	IL8_1	IL8_2
ENSMUSG00000033845	264.410639439803	342.697254802595	217.111658650313	220.134877623432
ENSMUSG00000025903	495.169015678176	466.972083467273	520.809514500453	513.648047788007
ENSMUSG00000033813	1023.99029455778	1077.9899910686	1456.45737677918	1337.11555297195
ENSMUSG00000002459	49.276528259236	48.956750686085	62.031902471518	58.430862579059
ENSMUSG00000033793	980.723099013087	977.252061772236	1504.27363493431	1364.29269835756
ENSMUSG00000025907	1270.97386912542	1301.11979708018	1873.88038716044	1675.47101302278
ENSMUSG00000090031	54.6849277023229	42.3664188629582	36.1852764417188	50.2777189633763
ENSMUSG00000051285	1118.33681817608	1087.40475081593	1354.36320396148	1333.03898116411
ENSMUSG00000103509	92.543723803931	74.3766020038599	67.2012276774778	69.3017207333025
ENSMUSG00000061024	319.095567142126	301.272311914369	333.421475784409	364.173748167158
ENSMUSG00000025911	25.8401306725262	27.3028032672397	93.047853707277	93.7611515803505
ENSMUSG00000025912	149.031451320616	169.465675451833	648.750313347959	483.753187863837
ENSMUSG00000045210	1106.31815274699	1045.03833195297	1948.83560264686	1849.40474349068
ENSMUSG00000025915	34.8541297443376	43.3078948376906	19.3849695223494	17.6651445006457
ENSMUSG00000098234	115.379188119187	118.625972816283	138.279449259426	148.115442351568
ENSMUSG00000025917	701.289127786932	738.117164190205	621.61135601667	631.868630215405
ENSMUSG00000056763	327.508632942483	308.804119712229	359.268101814209	345.149746397232
ENSMUSG00000067851	1148.98441502023	1183.43530023863	1411.22578122703	1311.29726485563
ENSMUSG00000048960	27.6429304868885	27.3028032672397	73.6628841849276	62.5074343869003
ENSMUSG00000016918	1139.97041594842	1044.09685597824	2084.5303893033	2100.79333830756
ENSMUSG00000025938	33.6522632014294	34.834611065099	43.9392642506586	25.8182881163284
ENSMUSG00000005886	810.658983191577	778.600631103698	774.106449592485	847.926936030995
ENSMUSG00000025935	1095.50135386082	1040.33095207931	1258.73068765122	1236.5601150452
ENSMUSG00000025937	678.453663471676	600.661671879274	626.78068122263	570.720053097785
ENSMUSG00000025932	600.332338182643	570.534440687837	591.887736082401	584.30862579059
ENSMUSG00000025925	131.604386448447	116.743020866818	187.388038716044	172.574873198616
ENSMUSG00000043716	6745.47597207224	7468.72890755216	8237.319715697	8544.49450923542
ENSMUSG00000025921	308.879701527406	229.720137834707	142.156443163895	145.397727813007
ENSMUSG00000025920	231.960242781282	238.193421607298	261.050922900972	207.905162199908
ENSMUSG00000025939	525.816612522335	609.134955651866	560.871784846642	494.624046018081
ENSMUSG00000079658	593.722072196648	602.544623828739	497.547551073634	479.676616055996
ENSMUSG00000025940	349.743163986285	391.65400548868	333.421475784409	297.589741972417
ENSMUSG00000025779	58.2905273310474	59.3129864081415	76.2475467879076	110.067438811716
ENSMUSG00000042686	377.386094473173	398.244337311807	275.266567217361	255.465166624723
ENSMUSG00000067780	1164.60868007804	1085.52179886646	102.094172817707	100.555437926753
ENSMUSG00000025776	26.4410639439803	19.7709954693805	2.58466260297992	6.79428634640221
ENSMUSG00000067773	36.0559962872458	44.249370812423	21.9696321253293	20.3828590392066
ENSMUSG00000100720	94.3465236182933	89.4402175995784	73.6628841849276	63.8662916561807
ENSMUSG00000043760	43.267195544695	59.3129864081415	23.2619634268193	10.8708581542435
ENSMUSG00000099906	961.493234326556	997.964533216349	46.5239268536385	55.7131480404981
ENSMUSG00000041859	326.306766399575	301.272311914369	299.82086194567	324.766887358025
ENSMUSG00000025931	22.8354643152557	25.4198513177749	19.3849695223494	14.9474299620849
ENSMUSG00000041779	643.599533727338	613.842335525528	504.009207581084	466.088043363191
ENSMUSG00000025933	36.0559962872458	38.6005149640286	12.9233130148996	23.1005735777675
ENSMUSG00000025934	42.0653290017868	33.8931350903666	80.1245406923774	85.6080079646678
ENSMUSG00000026158	42.6662622732409	39.541990938761	76.2475467879076	72.0194352718634
ENSMUSG00000026156	21.6335977723475	22.5954233935777	37.4776077432088	27.1771453856088
ENSMUSG00000026155	221.744377166562	262.671796950341	314.03650626206	273.130311125369
ENSMUSG00000026154	158.045450392428	155.343535830847	107.263498023667	107.349724273155
ENSMUSG00000026153	632.18180156971	627.022999171781	863.277309395292	823.467505183948
ENSMUSG00000101939	28.2438637583426	17.8880435199157	36.1852764417188	21.7417163084871
ENSMUSG00000073725	732.537657902545	646.793994641162	1117.86657578881	1023.21952376817
ENSMUSG00000048874	1581.65637046718	1577.91373365151	1995.3595295005	1918.70646422398
ENSMUSG00000026064	1558.82090615193	1476.23432838041	3515.14114005269	3049.27571226531
ENSMUSG00000026134	117.782921205003	123.333352689945	82.7092032953574	81.5314361568265
ENSMUSG00000004768	346.738497629014	304.096739838567	342.467794894839	357.379461820756
ENSMUSG00000042215	242.176108396001	244.783753430425	365.729758321658	358.738319090037
ENSMUSG00000042197	878.56444286589	933.002690959813	810.291726034204	803.084646144741
ENSMUSG00000042182	114.177321576279	106.386785144762	182.218713510084	172.574873198616
ENSMUSG00000026131	621.965935954991	681.628605706261	970.540807418959	914.510942225737
ENSMUSG00000042111	273.424638511614	241.959325506228	277.851229820341	284.001169279612
ENSMUSG00000026127	352.146897072101	364.35120222144	369.606752226128	342.432031858671
ENSMUSG00000037503	1888.73327218023	1965.80183524126	1824.77179770382	1801.84473906587
ENSMUSG00000026123	1081.67988861738	1080.8144189928	1453.8727141762	1421.36470366734
ENSMUSG00000045216	436.277555075675	438.7278042253	541.486815324293	501.418332364483
ENSMUSG00000037470	2302.17536294065	2223.76625231794	3962.28777036821	3986.88722806882
ENSMUSG00000047180	10.8167988861738	8.47328377259164	2412.78253988175	2043.72133299778
ENSMUSG00000037447	236.16677568146	241.959325506228	1048.08068550836	918.587514033578
ENSMUSG00000010453	964.497900683826	977.252061772236	992.510439544288	934.893801264944
ENSMUSG00000037432	76.9194587461245	82.8498857764516	49.1085894566184	48.9188616940959
ENSMUSG00000001143	399.620625516975	411.425000958061	359.268101814209	330.202316435147
ENSMUSG00000037408	141.820252063167	157.226487780312	182.218713510084	210.622876738468
ENSMUSG00000001138	362.963695958275	276.793936571327	357.975770512719	353.302890012915
ENSMUSG00000079610	45.6709286305114	47.0737987366202	41.3546016476787	63.8662916561807
ENSMUSG00000026121	629.778068483894	582.773628359358	351.514114005269	301.666313780258
ENSMUSG00000061518	820.874848806297	866.157896753812	721.120866231397	709.32349456439
ENSMUSG00000037351	1285.39626764031	1266.28518601508	1439.65706985981	1459.41270720719
ENSMUSG00000026116	1026.3940276436	1049.74571182663	922.72454926383	967.506375727674
ENSMUSG00000026113	276.429304868885	273.028032672397	277.851229820341	251.388594816882
ENSMUSG00000026112	1204.27027599401	1279.46584966134	1318.17792751976	1237.91897231448
ENSMUSG00000026111	402.024358602791	402.010241210737	409.669022572317	407.657180784132
ENSMUSG00000060771	153.237984220795	164.758295578171	127.940798847506	122.29715423524
ENSMUSG00000037216	46.8727951734196	61.1959383576063	56.8625772655582	54.3542907712177
ENSMUSG00000026088	219.340644080746	233.486041733636	829.676695556553	847.926936030995
ENSMUSG00000026087	333.517965657024	393.536957438145	544.071477927273	565.284624020664
ENSMUSG00000058407	739.14792388854	768.244395381642	847.769333777413	847.926936030995
ENSMUSG00000026083	2087.04125176008	2133.38455874363	2021.2061555303	2047.79790480563
ENSMUSG00000026082	319.095567142126	332.341019080539	598.349392589851	502.777189633763
ENSMUSG00000037138	167.059449464239	170.407151426565	15.5079756178795	10.8708581542435
ENSMUSG00000026080	41.4643957303327	20.7124714441129	14.2156443163895	19.0240017699262
