Geneid	Length	C1	C2	IL8_1	IL8_2
ENSMUSG00000102693	1070	1	0	0	0
ENSMUSG00000064842	110	0	0	0	0
ENSMUSG00000051951	3634	0	0	1	0
ENSMUSG00000102851	480	0	0	0	0
ENSMUSG00000103377	2819	0	0	0	0
ENSMUSG00000104017	2233	0	0	0	0
ENSMUSG00000103025	2309	0	0	0	0
ENSMUSG00000089699	250	0	0	0	0
ENSMUSG00000103201	2057	0	0	0	0
ENSMUSG00000103147	926	0	0	0	0
ENSMUSG00000103161	3012	0	0	0	0
ENSMUSG00000102331	3259	0	0	0	0
ENSMUSG00000102348	1634	0	0	0	0
ENSMUSG00000102592	2351	0	0	0	0
ENSMUSG00000088333	58	0	0	0	0
ENSMUSG00000102343	1364	0	0	0	0
ENSMUSG00000102948	1867	0	0	0	0
ENSMUSG00000025900	9108	0	0	0	0
ENSMUSG00000104123	1484	0	0	0	0
ENSMUSG00000025902	4096	0	0	0	0
ENSMUSG00000104238	475	0	0	0	0
ENSMUSG00000102269	2991	0	0	0	0
ENSMUSG00000096126	107	0	0	0	0
ENSMUSG00000103003	450	0	0	0	0
ENSMUSG00000104328	2773	0	0	0	0
ENSMUSG00000102735	936	0	0	0	0
ENSMUSG00000098104	1470	1	2	0	1
ENSMUSG00000102175	1206	0	0	0	0
ENSMUSG00000088000	103	0	0	0	0
ENSMUSG00000103265	631	0	0	0	0
ENSMUSG00000103922	1069	1	0	0	0
ENSMUSG00000033845	5289	440	364	168	162
ENSMUSG00000102275	1150	5	3	4	3
ENSMUSG00000025903	2661	824	496	403	378
ENSMUSG00000104217	825	0	0	0	0
ENSMUSG00000033813	3017	1704	1145	1127	984
ENSMUSG00000062588	603	2	1	1	2
ENSMUSG00000103280	1111	14	4	2	1
ENSMUSG00000002459	2514	82	52	48	43
ENSMUSG00000091305	272	1	0	0	0
ENSMUSG00000102653	2135	0	1	0	0
ENSMUSG00000085623	3725	5	7	6	7
ENSMUSG00000091665	1588	0	0	0	0
ENSMUSG00000033793	2176	1632	1038	1164	1004
ENSMUSG00000104352	732	0	0	0	0
ENSMUSG00000104046	2279	0	0	0	0
ENSMUSG00000102907	2032	0	0	0	0
ENSMUSG00000025905	4769	0	0	0	0
ENSMUSG00000103936	394	0	0	0	0
ENSMUSG00000093015	101	0	0	0	0
ENSMUSG00000103519	1799	0	0	0	0
ENSMUSG00000033774	3692	0	0	0	0
ENSMUSG00000103090	1083	0	0	0	0
ENSMUSG00000025907	7607	2115	1382	1450	1233
ENSMUSG00000090031	5428	91	45	28	37
ENSMUSG00000087247	971	3	6	1	0
ENSMUSG00000103355	639	0	0	0	0
ENSMUSG00000102706	473	1	0	0	0
ENSMUSG00000103845	4530	0	0	0	0
ENSMUSG00000033740	6166	3	0	3	2
ENSMUSG00000103329	2915	1	0	0	0
ENSMUSG00000104385	663	0	0	0	0
ENSMUSG00000102135	626	0	0	0	0
ENSMUSG00000103282	30	0	0	0	0
ENSMUSG00000102534	325	0	0	0	0
ENSMUSG00000102213	159	0	0	0	0
ENSMUSG00000103629	641	12	4	5	7
ENSMUSG00000051285	5232	1861	1155	1048	981
ENSMUSG00000098201	388	0	0	0	1
ENSMUSG00000103509	4028	154	79	52	51
ENSMUSG00000048538	1299	1	0	0	0
ENSMUSG00000103709	178	0	0	0	0
ENSMUSG00000077244	130	0	0	0	0
ENSMUSG00000102768	1012	0	0	0	0
ENSMUSG00000097797	1742	4	4	3	0
ENSMUSG00000103498	1124	0	0	0	0
ENSMUSG00000103067	2596	0	0	0	0
ENSMUSG00000102320	286	0	0	0	0
ENSMUSG00000104226	2095	0	0	0	0
ENSMUSG00000103903	881	0	0	0	0
ENSMUSG00000103557	1214	0	0	0	0
ENSMUSG00000025909	4887	0	0	0	0
ENSMUSG00000102647	2532	0	0	0	0
ENSMUSG00000086235	400	0	0	0	0
ENSMUSG00000102253	3534	0	0	0	0
ENSMUSG00000093970	110	0	0	0	0
ENSMUSG00000103884	1164	0	0	0	0
ENSMUSG00000084353	240	0	0	0	0
ENSMUSG00000103933	198	0	0	0	0
ENSMUSG00000076135	110	0	0	0	0
ENSMUSG00000086195	340	0	0	0	0
ENSMUSG00000104504	340	0	0	0	0
ENSMUSG00000066693	626	0	0	0	0
ENSMUSG00000102316	1050	0	0	0	0
ENSMUSG00000103819	518	0	0	0	0
ENSMUSG00000102871	3259	0	0	0	0
ENSMUSG00000101571	960	0	0	0	0
ENSMUSG00000104428	636	0	0	0	0
ENSMUSG00000102272	1170	0	0	0	0
ENSMUSG00000065625	103	0	0	0	0
ENSMUSG00000103411	1406	0	0	0	0
ENSMUSG00000061024	2048	531	320	258	268
ENSMUSG00000025911	3239	43	29	72	69
ENSMUSG00000079671	4561	22	15	3	10
ENSMUSG00000081441	1102	0	0	0	0
ENSMUSG00000067879	3256	4	2	2	1
ENSMUSG00000099827	1067	0	0	0	0
ENSMUSG00000025912	4980	248	180	502	356
ENSMUSG00000045210	9749	1841	1110	1508	1361
ENSMUSG00000097893	2676	20	19	6	12
ENSMUSG00000025915	4081	58	46	15	13
ENSMUSG00000046334	357	0	0	0	0
ENSMUSG00000088916	105	0	0	0	0
ENSMUSG00000046101	5916	11	10	12	8
ENSMUSG00000098234	979	192	126	107	109
ENSMUSG00000093178	87	1	1	0	1
ENSMUSG00000099032	4193	0	0	0	0
ENSMUSG00000104025	1374	0	0	0	0
ENSMUSG00000025916	1425	0	0	0	0
ENSMUSG00000087199	656	0	0	0	0
ENSMUSG00000095780	104	0	0	0	0
ENSMUSG00000025917	1698	1167	784	481	465
ENSMUSG00000056763	6070	545	328	278	254
ENSMUSG00000102356	920	0	0	0	0
ENSMUSG00000067851	7097	1912	1257	1092	965
ENSMUSG00000088153	240	0	1	0	0
ENSMUSG00000102556	1722	0	0	0	0
ENSMUSG00000042501	1932	0	0	1	1
ENSMUSG00000103810	2745	0	0	0	0
ENSMUSG00000083422	1456	0	0	1	0
ENSMUSG00000094979	107	0	0	0	0
ENSMUSG00000081417	492	0	0	0	1
ENSMUSG00000103448	1922	0	0	0	0
ENSMUSG00000100212	1242	0	0	0	0
ENSMUSG00000100648	759	0	0	0	0
ENSMUSG00000088585	91	0	0	0	0
ENSMUSG00000048960	11053	46	29	57	46
ENSMUSG00000077318	128	0	0	0	0
ENSMUSG00000101827	609	0	0	0	0
ENSMUSG00000103494	3039	0	0	0	0
ENSMUSG00000057715	8282	0	0	0	1
ENSMUSG00000103825	2471	0	0	0	0
ENSMUSG00000099845	262	0	0	0	0
ENSMUSG00000103561	2144	0	0	0	0
ENSMUSG00000101610	873	0	0	0	0
ENSMUSG00000093864	107	0	0	0	0
ENSMUSG00000098555	121	0	0	0	0
ENSMUSG00000097628	807	0	0	0	0
ENSMUSG00000098163	687	0	0	0	0
ENSMUSG00000097171	3200	5	1	1	3
ENSMUSG00000101314	853	0	0	0	0
ENSMUSG00000016918	7454	1897	1109	1613	1546
ENSMUSG00000025938	11133	56	37	34	19
ENSMUSG00000104518	551	0	0	0	0
ENSMUSG00000069620	321	0	0	0	0
ENSMUSG00000099498	288	0	0	0	0
ENSMUSG00000042414	2564	0	0	0	0
ENSMUSG00000005886	8524	1349	827	599	624
ENSMUSG00000103506	2253	0	0	1	0
ENSMUSG00000103495	1626	0	0	0	0
ENSMUSG00000099183	82	0	0	0	0
ENSMUSG00000102639	695	0	0	0	0
ENSMUSG00000104170	1872	0	0	0	1
ENSMUSG00000087782	112	0	0	0	0
ENSMUSG00000103085	4642	3	0	1	1
ENSMUSG00000102664	2248	1	3	1	0
